Dataset	kmer	Proportion	Haplotypes
D_ACP_Global_Combined	15	100	55
D_ACP_Global_Combined	15	90	58
D_ACP_Global_Combined	15	50	58
D_ACP_Global_Combined	15	0	58
D_ACP_Global_Combined	13	100	54
D_ACP_Global_Combined	13	90	55
D_ACP_Global_Combined	13	50	56
D_ACP_Global_Combined	13	0	56
D_ACP_Global_Combined	11	100	47
D_ACP_Global_Combined	11	90	49	
D_ACP_Global_Combined	11	50	49
D_ACP_Global_Combined	11	0	50
B_Thrips	15	100	94
B_Thrips	15	90	113
B_Thrips	15	50	119
B_Thrips	15	0	119
B_Thrips	13	100	94
B_Thrips	13	90	116
B_Thrips	13	50	123
B_Thrips	13	0	123
B_Thrips	11	100	86
B_Thrips	11	90	102	
B_Thrips	11	50	109
B_Thrips	11	0	111
C_ACP_Global	15	100	21
C_ACP_Global	15	90	23
C_ACP_Global	15	50	23
C_ACP_Global	15	0	23
C_ACP_Global	13	100	21
C_ACP_Global	13	90	21
C_ACP_Global	13	50	21
C_ACP_Global	13	0	23
C_ACP_Global	11	100	19
C_ACP_Global	11	90	20	
C_ACP_Global	11	50	20
C_ACP_Global	11	0	20
A_Ovis	15	100	14
A_Ovis	15	90	14
A_Ovis	15	50	14
A_Ovis	15	0	14
A_Ovis	13	100	14
A_Ovis	13	90	14
A_Ovis	13	50	14
A_Ovis	13	0	14
A_Ovis	11	100	14
A_Ovis	11	90	14	
A_Ovis	11	50	14
A_Ovis	11	0	15

