Dataset,X,Y
ACP Global Expanded,7,0
ACP Global Expanded,9,0.960
ACP Global Expanded,11,1.000
ACP Global Expanded,13,1.000
ACP Global Expanded,15,1.000
ACP Global Expanded,17,1.000
ACP Global Expanded,19,1.000
ACP Global Expanded,21,1.000
ACP Global Expanded,23,1.000
ACP Global Expanded,25,1.000
ACP Global Expanded,27,1.000
ACP Global Expanded,29,1.000
ACP Global Expanded,31,1.000
ACP Global Expanded,33,1.000
ACP Global Expanded,35,1.000
ACP Global Expanded,37,1.000
ACP Global Expanded,39,1.000
ACP Global Expanded,41,1.000
ACP Global Expanded,43,1.000
ACP Global Expanded,45,1.000
ACP Global Expanded,47,1.000
ACP Global Expanded,49,1.000
ACP Global Expanded,51,1.000
ACP Global Expanded,53,1.000
ACP Global Expanded,55,1.000
ACP Global Expanded,57,1.000
ACP Global Expanded,59,1.000
ACP Global Expanded,61,1.000
ACP Global Expanded,63,1.000
ACP Global,7,0.916
ACP Global,9,0.428
ACP Global,11,0.965
ACP Global,13,0.959
ACP Global,15,0.965
ACP Global,17,0.965
ACP Global,19,0.972
ACP Global,21,0.972
ACP Global,23,0.972
ACP Global,25,0.978
ACP Global,27,0.978
ACP Global,29,0.886
ACP Global,31,0.886
ACP Global,33,0.905
ACP Global,35,0.905
ACP Global,37,0.905
ACP Global,39,0.905
ACP Global,41,0.905
ACP Global,43,0.922
ACP Global,45,0.922
ACP Global,47,0.922
ACP Global,49,0.922
ACP Global,51,0.922
ACP Global,53,0.764
ACP Global,55,0.787
ACP Global,57,0.787
ACP Global,59,0.787
ACP Global,61,0.685
ACP Global,63,0.685
Ovis spp.,7,0.234
Ovis spp.,9,0.377
Ovis spp.,11,0.117
Ovis spp.,13,0.249
Ovis spp.,15,0.297
Ovis spp.,17,0.042
Ovis spp.,19,0.112
Ovis spp.,21,0.150
Ovis spp.,23,0.175
Ovis spp.,25,0.235
Ovis spp.,27,0.266
Ovis spp.,29,0.190
Ovis spp.,31,0.481
Ovis spp.,33,0.346
Ovis spp.,35,0.378
Ovis spp.,37,0.508
Ovis spp.,39,0.508
Ovis spp.,41,0.508
Ovis spp.,43,0.682
Ovis spp.,45,0.720
Ovis spp.,47,0.733
Ovis spp.,49,0.857
Ovis spp.,51,0.857
Ovis spp.,53,0.922
Ovis spp.,55,0.922
Ovis spp.,57,0.930
Ovis spp.,59,0.959
Ovis spp.,61,0.978
Ovis spp.,63,0.959
Frankliniella intonsa,7,0.999
Frankliniella intonsa,9,1.000
Frankliniella intonsa,11,1.000
Frankliniella intonsa,13,1.000
Frankliniella intonsa,15,1.000
Frankliniella intonsa,17,1.000
Frankliniella intonsa,19,1.000
Frankliniella intonsa,21,1.000
Frankliniella intonsa,23,1.000
Frankliniella intonsa,25,1.000
Frankliniella intonsa,27,1.000
Frankliniella intonsa,29,1.000
Frankliniella intonsa,31,1.000
Frankliniella intonsa,33,1.000
Frankliniella intonsa,35,1.000
Frankliniella intonsa,37,1.000
Frankliniella intonsa,39,1.000
Frankliniella intonsa,41,1.000
Frankliniella intonsa,43,1.000
Frankliniella intonsa,45,1.000
Frankliniella intonsa,47,1.000
Frankliniella intonsa,49,1.000
Frankliniella intonsa,51,1.000
Frankliniella intonsa,53,1.000
Frankliniella intonsa,55,1.000
Frankliniella intonsa,57,1.000
Frankliniella intonsa,59,1.000
Frankliniella intonsa,61,1.000
Frankliniella intonsa,63,1.000
