Dataset,X,Y
ACP Global Expanded,7,0.000
ACP Global Expanded,9,0.739
ACP Global Expanded,11,2.721
ACP Global Expanded,13,3.672
ACP Global Expanded,15,3.907
ACP Global Expanded,17,3.893
ACP Global Expanded,19,3.887
ACP Global Expanded,21,3.875
ACP Global Expanded,23,3.875
ACP Global Expanded,25,3.714
ACP Global Expanded,27,3.702
ACP Global Expanded,29,3.394
ACP Global Expanded,31,3.394
ACP Global Expanded,33,3.163
ACP Global Expanded,35,3.163
ACP Global Expanded,37,3.163
ACP Global Expanded,39,3.160
ACP Global Expanded,41,3.160
ACP Global Expanded,43,3.007
ACP Global Expanded,45,3.007
ACP Global Expanded,47,2.992
ACP Global Expanded,49,2.992
ACP Global Expanded,51,2.992
ACP Global Expanded,53,2.916
ACP Global Expanded,55,2.837
ACP Global Expanded,57,2.837
ACP Global Expanded,59,2.673
ACP Global Expanded,61,2.588
ACP Global Expanded,63,2.588
ACP Global,7,0.297
ACP Global,9,4.697
ACP Global,11,10.628
ACP Global,13,14.791
ACP Global,15,14.422
ACP Global,17,14.422
ACP Global,19,13.884
ACP Global,21,13.884
ACP Global,23,13.884
ACP Global,25,13.342
ACP Global,27,13.342
ACP Global,29,11.531
ACP Global,31,11.531
ACP Global,33,11.067
ACP Global,35,11.067
ACP Global,37,11.067
ACP Global,39,11.067
ACP Global,41,11.067
ACP Global,43,10.602
ACP Global,45,10.602
ACP Global,47,10.602
ACP Global,49,10.602
ACP Global,51,10.602
ACP Global,53,10.288
ACP Global,55,9.991
ACP Global,57,9.991
ACP Global,59,9.991
ACP Global,61,9.695
ACP Global,63,9.695
Ovis spp.,7,1.059
Ovis spp.,9,51.471
Ovis spp.,11,100.059
Ovis spp.,13,67.162
Ovis spp.,15,60.346
Ovis spp.,17,55.140
Ovis spp.,19,39.853
Ovis spp.,21,35.588
Ovis spp.,23,33.434
Ovis spp.,25,21.169
Ovis spp.,27,20.037
Ovis spp.,29,17.044
Ovis spp.,31,10.941
Ovis spp.,33,9.926
Ovis spp.,35,9.500
Ovis spp.,37,7.985
Ovis spp.,39,7.985
Ovis spp.,41,7.985
Ovis spp.,43,6.309
Ovis spp.,45,5.956
Ovis spp.,47,5.838
Ovis spp.,49,4.618
Ovis spp.,51,4.618
Ovis spp.,53,3.838
Ovis spp.,55,3.838
Ovis spp.,57,3.721
Ovis spp.,59,3.235
Ovis spp.,61,2.779
Ovis spp.,63,2.397
Frankliniella intonsa,7,0.079
Frankliniella intonsa,9,12.217
Frankliniella intonsa,11,27.440
Frankliniella intonsa,13,33.437
Frankliniella intonsa,15,34.440
Frankliniella intonsa,17,33.357
Frankliniella intonsa,19,29.525
Frankliniella intonsa,21,29.054
Frankliniella intonsa,23,26.642
Frankliniella intonsa,25,24.854
Frankliniella intonsa,27,24.094
Frankliniella intonsa,29,23.719
Frankliniella intonsa,31,19.762
Frankliniella intonsa,33,18.111
Frankliniella intonsa,35,17.741
Frankliniella intonsa,37,14.952
Frankliniella intonsa,39,14.502
Frankliniella intonsa,41,13.575
Frankliniella intonsa,43,12.468
Frankliniella intonsa,45,11.941
Frankliniella intonsa,47,11.716
Frankliniella intonsa,49,11.636
Frankliniella intonsa,51,10.477
Frankliniella intonsa,53,9.961
Frankliniella intonsa,55,9.312
Frankliniella intonsa,57,8.836
Frankliniella intonsa,59,7.366
Frankliniella intonsa,61,7.312
Frankliniella intonsa,63,6.965
