Dataset,X,Y
ACP Global Expanded,7,1726
ACP Global Expanded,9,7701
ACP Global Expanded,11,12808
ACP Global Expanded,13,14500
ACP Global Expanded,15,14812
ACP Global Expanded,17,14858
ACP Global Expanded,19,14865
ACP Global Expanded,21,14862
ACP Global Expanded,23,14859
ACP Global Expanded,25,14855
ACP Global Expanded,27,14851
ACP Global Expanded,29,14847
ACP Global Expanded,31,14841
ACP Global Expanded,33,14837
ACP Global Expanded,35,14833
ACP Global Expanded,37,14829
ACP Global Expanded,39,14825
ACP Global Expanded,41,14821
ACP Global Expanded,43,14817
ACP Global Expanded,45,14813
ACP Global Expanded,47,14810
ACP Global Expanded,49,14806
ACP Global Expanded,51,14801
ACP Global Expanded,53,14797
ACP Global Expanded,55,14793
ACP Global Expanded,57,14789
ACP Global Expanded,59,14785
ACP Global Expanded,61,14781
ACP Global Expanded,63,14777
ACP Global,7,1721
ACP Global,9,7579
ACP Global,11,12445
ACP Global,13,13979
ACP Global,15,14176
ACP Global,17,14176
ACP Global,19,14023
ACP Global,21,13919
ACP Global,23,13815
ACP Global,25,13713
ACP Global,27,13610
ACP Global,29,13506
ACP Global,31,13404
ACP Global,33,13299
ACP Global,35,13199
ACP Global,37,13099
ACP Global,39,12996
ACP Global,41,12894
ACP Global,43,12796
ACP Global,45,12700
ACP Global,47,12604
ACP Global,49,12508
ACP Global,51,12413
ACP Global,53,12318
ACP Global,55,12217
ACP Global,57,12120
ACP Global,59,12027
ACP Global,61,11936
ACP Global,63,11846
Ovis spp.,7,1988
Ovis spp.,9,9558
Ovis spp.,11,11304
Ovis spp.,13,10621
Ovis spp.,15,9806
Ovis spp.,17,9094
Ovis spp.,19,8404
Ovis spp.,21,7800
Ovis spp.,23,7238
Ovis spp.,25,6681
Ovis spp.,27,6193
Ovis spp.,29,5777
Ovis spp.,31,5346
Ovis spp.,33,4968
Ovis spp.,35,4636
Ovis spp.,37,4294
Ovis spp.,39,3999
Ovis spp.,41,3745
Ovis spp.,43,3495
Ovis spp.,45,3288
Ovis spp.,47,3093
Ovis spp.,49,2902
Ovis spp.,51,2736
Ovis spp.,53,2592
Ovis spp.,55,2453
Ovis spp.,57,2336
Ovis spp.,59,2221
Ovis spp.,61,2104
Ovis spp.,63,1994
Frankliniella intonsa,7,1664
Frankliniella intonsa,9,6713
Frankliniella intonsa,11,11069
Frankliniella intonsa,13,12471
Frankliniella intonsa,15,12579
Frankliniella intonsa,17,12379
Frankliniella intonsa,19,12123
Frankliniella intonsa,21,11858
Frankliniella intonsa,23,11585
Frankliniella intonsa,25,11311
Frankliniella intonsa,27,11045
Frankliniella intonsa,29,10783
Frankliniella intonsa,31,10527
Frankliniella intonsa,33,10271
Frankliniella intonsa,35,10018
Frankliniella intonsa,37,9771
Frankliniella intonsa,39,9536
Frankliniella intonsa,41,9305
Frankliniella intonsa,43,9074
Frankliniella intonsa,45,8854
Frankliniella intonsa,47,8637
Frankliniella intonsa,49,8425
Frankliniella intonsa,51,8223
Frankliniella intonsa,53,8031
Frankliniella intonsa,55,7843
Frankliniella intonsa,57,7658
Frankliniella intonsa,59,7473
Frankliniella intonsa,61,7293
Frankliniella intonsa,63,7119
