Sample,Haplotype,SNPDistance,Titer
CA-G3,H21,27.27,4.50597087330104
AB-A12,H24,26.55,0
AC-C3,H24,26.55,9.38748746847837
AC-D2,H24,26.55,6.81343620387126
AD-A11,H24,26.55,6.93695763906495
AD-A12,H24,26.55,7.45351954745687
AD-B7,H24,26.55,6.09423211272454
AD-C7,H24,26.55,5.52884826410426
BA-B4,H25,26.07,3.00538498586573
CA-B8,H27,26.07,10.5919848139592
CA-C7,H27,26.07,5.45829800480855
CA-D9,H27,26.07,6.2800021285076
CA-E5,H27,26.07,9.63878306187417
CA-F2,H27,26.07,9.06534592891494
CA-F5,H27,26.07,6.2606915360435
CA-F9,H27,26.07,9.98160301965868
CA-H2,H27,26.07,9.9184006474888
CA-H7,H27,26.07,7.86379391194467
CA-H8,H27,26.07,7.17038089391001
CA-H9,H27,26.07,7.20086878694675
AA-A1,H28,26.07,6.27789026818077
AA-F4,H28,26.07,9.91552478844576
AA-B6,H29,26.07,8.47863643139728
AA-C9,H30,26.07,0
AA-D4,H31,26.07,7.24832328433669
AA-F11,H32,26.07,5.17254714936175
AB-F1,H32,26.07,7.59611373689026
AA-F9,H33,26.07,0
AB-A8,H34,26.07,6.75526623454051
AB-B9,H35,26.07,8.37535567943597
AC-C5,H36,26.07,9.52188336979897
AC-H4,H36,26.07,10.8228336819257
AD-F11,H36,26.07,5.38979094600437
AC-E3,H37,26.07,9.82846590695609
AC-F3,H38,26.07,7.43050131152476
AC-G5,H39,26.07,10.6202017534207
AD-E5,H41,26.07,7.01011520537126
BA-A11,H43,26.07,0
BA-B11,H43,26.07,0
BA-C8,H43,26.07,0
BA-D10,H43,26.07,0
BA-D7,H43,26.07,0
BA-E8,H43,26.07,0
BA-F11,H43,26.07,0
BA-F8,H43,26.07,0
BA-G10,H43,26.07,0
BA-B2,H44,26.07,0
CA-D4,H45,26.07,4.06535799838759
DA-G3,H47,26.07,8.86687419265657
DB-C1,H48,26.07,11.6922700115299
DB-D4,H48,26.07,9.37653030259654
DB-E1,H48,26.07,10.6472610082007
DB-E7,H48,26.07,10.7332991548428
DB-E8,H48,26.07,11.0192070499057
DB-F2,H48,26.07,10.3742752961588
DB-F4,H48,26.07,9.77608065257432
DB-G7,H48,26.07,11.1607195912725
DB-G9,H48,26.07,11.263450579407
DB-H7,H48,26.07,11.4475514695879
AC-C12,H49,26.06,7.28447826127776
AB-C8,H51,26.01,5.89762043460162
AB-G5,H51,26.01,5.8042100081396
DA-F4,H52,26,9.43080032566119
BA-A1,H53,26,4.53421939545654
BA-F1,H53,26,0
BA-H2,H53,26,0
DA-C2,H54,26,10.3007643443646
DA-D1,H54,26,11.1181243315258
DA-H3,H54,26,10.3391825968483
AC-B3,H55,25.99,9.37512081232947
BA-G4,H56,25.64,0
