Dataset,X,Y
ACP Global Expanded,7,0
ACP Global Expanded,9,0.183
ACP Global Expanded,11,0.393
ACP Global Expanded,13,0.393
ACP Global Expanded,15,0.404
ACP Global Expanded,17,0.398
ACP Global Expanded,19,0.393
ACP Global Expanded,21,0.384
ACP Global Expanded,23,0.384
ACP Global Expanded,25,0.384
ACP Global Expanded,27,0.375
ACP Global Expanded,29,0.375
ACP Global Expanded,31,0.375
ACP Global Expanded,33,0.372
ACP Global Expanded,35,0.372
ACP Global Expanded,37,0.372
ACP Global Expanded,39,0.370
ACP Global Expanded,41,0.370
ACP Global Expanded,43,0.370
ACP Global Expanded,45,0.370
ACP Global Expanded,47,0.363
ACP Global Expanded,49,0.363
ACP Global Expanded,51,0.363
ACP Global Expanded,53,0.363
ACP Global Expanded,55,0.363
ACP Global Expanded,57,0.363
ACP Global Expanded,59,0.354
ACP Global Expanded,61,0.349
ACP Global Expanded,63,0.349
ACP Global,7,0.239
ACP Global,9,0.585
ACP Global,11,0.957
ACP Global,13,0.961
ACP Global,15,0.961
ACP Global,17,0.961
ACP Global,19,0.961
ACP Global,21,0.961
ACP Global,23,0.961
ACP Global,25,0.961
ACP Global,27,0.961
ACP Global,29,0.942
ACP Global,31,0.942
ACP Global,33,0.942
ACP Global,35,0.942
ACP Global,37,0.942
ACP Global,39,0.942
ACP Global,41,0.942
ACP Global,43,0.942
ACP Global,45,0.942
ACP Global,47,0.942
ACP Global,49,0.942
ACP Global,51,0.942
ACP Global,53,0.920
ACP Global,55,0.920
ACP Global,57,0.920
ACP Global,59,0.920
ACP Global,61,0.908
ACP Global,63,0.908
Ovis spp.,7,0.118
Ovis spp.,9,0.978
Ovis spp.,11,0.978
Ovis spp.,13,0.978
Ovis spp.,15,0.978
Ovis spp.,17,0.963
Ovis spp.,19,0.963
Ovis spp.,21,0.963
Ovis spp.,23,0.963
Ovis spp.,25,0.956
Ovis spp.,27,0.956
Ovis spp.,29,0.926
Ovis spp.,31,0.926
Ovis spp.,33,0.897
Ovis spp.,35,0.897
Ovis spp.,37,0.897
Ovis spp.,39,0.897
Ovis spp.,41,0.897
Ovis spp.,43,0.897
Ovis spp.,45,0.897
Ovis spp.,47,0.897
Ovis spp.,49,0.897
Ovis spp.,51,0.897
Ovis spp.,53,0.897
Ovis spp.,55,0.897
Ovis spp.,57,0.897
Ovis spp.,59,0.897
Ovis spp.,61,0.897
Ovis spp.,63,0.838
Frankliniella intonsa,7,0.079
Frankliniella intonsa,9,0.930
Frankliniella intonsa,11,0.965
Frankliniella intonsa,13,0.969
Frankliniella intonsa,15,0.981
Frankliniella intonsa,17,0.981
Frankliniella intonsa,19,0.980
Frankliniella intonsa,21,0.979
Frankliniella intonsa,23,0.979
Frankliniella intonsa,25,0.979
Frankliniella intonsa,27,0.975
Frankliniella intonsa,29,0.974
Frankliniella intonsa,31,0.963
Frankliniella intonsa,33,0.960
Frankliniella intonsa,35,0.959
Frankliniella intonsa,37,0.948
Frankliniella intonsa,39,0.946
Frankliniella intonsa,41,0.946
Frankliniella intonsa,43,0.946
Frankliniella intonsa,45,0.943
Frankliniella intonsa,47,0.938
Frankliniella intonsa,49,0.934
Frankliniella intonsa,51,0.891
Frankliniella intonsa,53,0.890
Frankliniella intonsa,55,0.890
Frankliniella intonsa,57,0.890
Frankliniella intonsa,59,0.877
Frankliniella intonsa,61,0.876
Frankliniella intonsa,63,0.876
